time,11:29:00,11:29:01,11:29:02,11:29:03,11:29:04,11:29:05,11:29:06,11:29:07,11:29:08,11:29:09,11:29:10,11:29:11,11:29:12,11:29:13,11:29:14,11:29:15,11:29:16,11:29:17,11:29:18,11:29:19,11:29:20,11:29:21,11:29:22,11:29:23,11:29:24,11:29:25,11:29:26,11:29:27,11:29:28,11:29:29,11:29:30,11:29:31,11:29:32,11:29:33,11:29:34,11:29:35,11:29:36,11:29:37,11:29:38,11:29:39,11:29:40,11:29:41,11:29:42,11:29:43,11:29:44,11:29:45,11:29:46,11:29:47,11:29:48,11:29:49,11:29:50,11:29:51,11:29:52,11:29:53,11:29:54,11:29:55,11:29:56,11:29:57,11:29:58,11:29:59,11:30:00
201701,300,300,300,300,300,300,400,400,400,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,900,1000,1000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1400,1500,1600
201702,600,600,600,600,600,600,600,600,600,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1100,1200,1200,1200,1300,1400,1400,1500,1500,1500,1600,1600,1700,1800,1900,2000,2100,2100,2200,2200
201703,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1100,1200,1200,1300,1400,1500,1600,1700,1700,1800,1800
201704,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1100,1200,1200,1200,1300,1300,1300,1300,1300,1400,1400,1500,1500,1600,1600,1700,1900
201705,600,600,600,600,600,600,600,600,700,700,700,700,700,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1100,1200,1200,1200,1200,1200,1200,1300,1300,1400,1400,1500,1500,1600,1600,1700,1700,1800,1900,2000,2100,2200,2200,2200
201706,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,700,700,700,800,800,800,800,800,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1400,1400,1400,1500
201707,600,600,600,600,600,600,600,600,600,600,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1100,1200,1200,1200,1200,1200,1200,1300,1300,1400,1500,1600,1600,1700,1800,1900,2000,2100,2200,2300,2300,2300,2400,2400
201708,400,400,500,500,500,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,700,700,700,700,700,800,800,800,900,900,900,900,900,1000,1000,1000,1100,1200,1300,1300,1300,1300,1300,1400,1400,1400,1500,1500,1600,1800
201709,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,400,500,500,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,900,900,900,900,900,1000,1000,1000,1100,1200,1200,1400,1500
201710,300,300,300,300,300,300,300,300,300,400,400,400,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,900,900,900,900,900,1000,1000,1100,1100,1200,1200,1300,1400,1500,1600,1700,1800
201711,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,400,400,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,900,900,900,900,1000,1000,1100,1100,1200,1400
201712,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,400,400,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,1100
201801,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,400,400,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,900,900,1000,1100,1200,1300,1400,1500,1600
201802,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,400,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,800,900,900,900,900,900,900,900,900,1000,1000,1100,1100,1300
