拍卖时间,警示价
2013年4月20日,83600
2013年5月25日,79900
2013年6月22日,77300
2013年7月20日,75400
2013年8月17日,74100
2013年9月14日,72600
2013年11月16日,74900
2013年12月14日,74900
2014年1月18日,72600
2014年2月15日,72600
2014年3月15日,72600
2014年4月19日,72600
2014年5月24日,72600
2014年6月29日,72600
2014年7月26日,72600
2014年8月16日,72600
2014年9月20日,72600
2014年10月18日,72600
2014年11月15日,72600
2014年12月20日,72600
2015年1月17日,73700
2015年2月7日,73700
2015年3月21日,73700
2015年4月18日,75200
2015年5月23日,75200
2015年6月14日,75200
2015年7月18日,79900
2015年8月15日,79900
2015年9月19日,79900
2015年10月26日,82600
2015年11月21日,82600
2015年12月19日,82600
2016年1月16日,80600
2016年2月20日,80600
2016年3月19日,80600
2016年4月16日,82800
2016年5月21日,82800
2016年6月18日,82800
2016年7月23日,84800
2016年8月27日,84800
2016年9月24日,84800
2016年10月22日,86800
2016年11月19日,86800
2016年12月7日,86800
2017年1月14日,86000
2017年2月18日,86000
2017年3月18日,86000
2017年4月15日,87900
2017年5月20日,87900
2017年6月17日,87900
2017年7月22日,89800
2017年8月19日,89800
2017年9月16日,89800
2017年10月21日,91700
2017年11月18日,91700
2017年12月16日,91700
2018年1月20日,86300
2018年2月25日,86300
2018年3月24日,86300
2018年4月21日,86300
2018年5月19日,86300
2018年6月23日,86300
2018年7月21日,86300
2018年8月18日,86300
2018年9月15日,86300
2018年10月20日,86300
2018年11月17日,86300
2018年12月15日,86300
2019年1月19日,88100
2019年2月23日,88100
2019年3月23日,88100
2019年4月20日,88100
2019年5月18日,88100
2019年6月22日,88100
2019年7月20日,88100
2019年8月24日,88100
2019年9月24日,88100
2019年10月26日,88100
2019年11月23日,88100
2019年12月21日,88100
2020年1月18日,89300
2020年2月22日,89300
2020年3月,89300
2020年4月,89300
2020年5月,89300
2020年6月,89300
2020年7月,89300
2020年8月,89300
2020年9月,89300
2020年10月,89300
2020年11月,89300
2020年12月,89300
