拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2011年1月,8000,38300,38771,11:29:59 第161位,30675
2011年2月,7500,44200,44627,11:29:46 第101位,25104
2011年3月,8000,46200,46657,11:29:39 第30位,25014
2011年4月,8000,46300,47399,11:29:53 第210位,22326
2011年5月,9000,47400,47700,11:29:53 第120位,25708
2011年6月,9000,48500,48855,10:59:54 第2位,22474
2011年7月,9000,50900,51174,11:29:52 第123位,21852
2011年8月,9000,51000,52228,11:29:56 第64位,21544
2011年9月,9500,52200,52622,10:56:27 第1位,22268
2011年10月,9000,53800,54008,11:29:53 第196位,19415
2011年11月,9000,45700,47635,11:29:46 第4位,20050
2011年12月,8500,51000,51437,11:29:51 第171位,26531
